Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole
41,Yes,Travel_Rarely,Sales,1,2,Female,2,Sales Executive,Single,5993,Yes,11,3,8,6,4
49,No,Travel_Frequently,Research & Development,8,1,Male,2,Research Scientist,Married,5130,No,23,4,10,10,7
37,Yes,Travel_Rarely,Research & Development,2,2,Male,1,Laboratory Technician,Single,2090,Yes,15,3,7,0,0
33,No,Travel_Frequently,Research & Development,3,4,Female,1,Research Scientist,Married,2909,Yes,11,3,8,8,7
27,No,Travel_Rarely,Research & Development,2,1,Male,1,Laboratory Technician,Married,3468,No,12,3,6,2,2
32,No,Travel_Frequently,Research & Development,2,2,Male,1,Laboratory Technician,Single,3068,No,13,3,8,7,7
59,No,Travel_Rarely,Research & Development,3,3,Female,1,Laboratory Technician,Married,2670,Yes,20,4,12,1,0
30,No,Travel_Rarely,Research & Development,24,1,Male,1,Laboratory Technician,Divorced,2693,No,22,4,1,1,0
38,No,Travel_Frequently,Research & Development,23,3,Male,3,Manufacturing Director,Single,9526,No,21,4,10,9,7
36,No,Travel_Rarely,Research & Development,27,3,Male,2,Healthcare Representative,Married,5237,No,13,3,17,7,7
35,No,Travel_Rarely,Research & Development,16,3,Male,1,Laboratory Technician,Married,2426,No,13,3,6,5,4
29,No,Travel_Rarely,Research & Development,15,2,Female,2,Laboratory Technician,Single,4193,Yes,12,3,10,9,5
31,No,Travel_Rarely,Research & Development,26,1,Male,1,Research Scientist,Divorced,2911,No,17,3,5,5,2
34,No,Travel_Rarely,Research & Development,19,2,Male,1,Laboratory Technician,Divorced,2661,No,11,3,3,2,2
28,Yes,Travel_Rarely,Research & Development,24,3,Male,1,Laboratory Technician,Single,2028,Yes,14,3,6,4,2
29,No,Travel_Rarely,Research & Development,21,4,Female,3,Manufacturing Director,Divorced,9980,No,11,3,10,10,9
32,No,Travel_Rarely,Research & Development,5,2,Male,1,Research Scientist,Divorced,3298,Yes,12,3,7,6,2
22,No,Non-Travel,Research & Development,16,2,Male,1,Laboratory Technician,Divorced,2935,Yes,13,3,1,1,0
53,No,Travel_Rarely,Sales,2,4,Female,4,Manager,Married,15427,No,16,3,31,25,8
38,No,Travel_Rarely,Research & Development,2,3,Male,1,Research Scientist,Single,3944,Yes,11,3,6,3,2
24,No,Non-Travel,Research & Development,11,2,Female,2,Manufacturing Director,Divorced,4011,No,18,3,5,4,2
